stride,pool,burst,bare_ticks_burst,bare_per_pkt,work_bare_per_pkt,work_fenced_per_pkt,hidden_ticks_burst,floor_bare,floor_fenced
2304,1,64,222.36,3.4744,3.0064,3.9237,58.71,29.95,56.88
2304,1,32,108.55,3.3921,2.4561,4.2139,56.25,29.95,56.88
2304,1,16,56.44,3.5275,1.6554,4.2675,41.79,29.95,56.88
2304,1,8,33.30,4.1626,0.4185,5.4945,40.61,29.95,56.88
2304,1,4,29.24,7.3095,-0.1787,8.1439,33.29,29.95,56.88
2304,1,2,29.59,14.7951,-0.1814,11.8970,24.16,29.95,56.88
2304,1,1,29.65,29.6502,-0.3028,21.4050,21.71,29.95,56.88
2304,600,64,1406.73,21.9801,21.5123,23.1291,103.48,29.94,56.97
2304,600,32,658.00,20.5624,19.6266,24.3536,151.26,29.94,56.97
2304,600,16,172.21,10.7632,8.8917,22.1835,212.67,29.94,56.97
2304,600,8,50.15,6.2686,2.5256,17.1655,117.12,29.94,56.97
2304,600,4,29.26,7.3143,-0.1717,28.7468,115.67,29.94,56.97
2304,600,2,29.57,14.7869,-0.1850,52.0898,104.55,29.94,56.97
2304,600,1,29.71,29.7058,-0.2380,47.0336,47.27,29.94,56.97
2304,3000,64,1630.73,25.4802,25.0123,28.8984,248.71,29.95,56.91
2304,3000,32,787.24,24.6012,23.6654,30.4547,217.26,29.95,56.91
2304,3000,16,253.29,15.8304,13.9588,27.0451,209.38,29.95,56.91
2304,3000,8,42.04,5.2550,1.5118,33.7266,257.72,29.95,56.91
2304,3000,4,29.28,7.3195,-0.1670,36.6743,147.37,29.95,56.91
2304,3000,2,29.60,14.8019,-0.1711,61.9106,124.16,29.95,56.91
2304,3000,1,29.70,29.6976,-0.2484,49.1769,49.43,29.95,56.91
2304,20,64,450.68,7.0418,6.5739,7.4162,53.91,29.95,56.73
2304,20,32,211.98,6.6242,5.6884,7.4835,57.44,29.95,56.73
2304,20,16,72.54,4.5340,2.6623,7.8169,82.47,29.95,56.73
2304,20,8,34.67,4.3340,0.5906,8.2680,61.42,29.95,56.73
2304,20,4,29.40,7.3505,-0.1363,12.2639,49.60,29.95,56.73
2304,20,2,29.89,14.9431,-0.0306,20.6681,41.40,29.95,56.73
2304,20,1,29.99,29.9946,0.0473,39.4871,39.44,29.95,56.73
2304,60,64,497.48,7.7732,7.3053,8.0181,45.62,29.95,56.51
2304,60,32,226.63,7.0821,6.1463,7.6699,48.75,29.95,56.51
2304,60,16,72.66,4.5412,2.6696,7.8861,83.46,29.95,56.51
2304,60,8,34.51,4.3134,0.5703,7.9218,58.81,29.95,56.51
2304,60,4,29.42,7.3559,-0.1303,12.2317,49.45,29.95,56.51
2304,60,2,29.83,14.9140,-0.0586,20.7306,41.58,29.95,56.51
2304,60,1,30.00,29.9994,0.0543,39.7834,39.73,29.95,56.51
2304,200,64,1409.01,22.0158,21.5479,23.0822,98.20,29.95,56.48
2304,200,32,624.64,19.5200,18.5842,22.6570,130.33,29.95,56.48
2304,200,16,183.69,11.4804,9.6087,21.3893,188.49,29.95,56.48
2304,200,8,40.52,5.0644,1.3212,15.7894,115.75,29.95,56.48
2304,200,4,29.24,7.3090,-0.1776,26.9577,108.54,29.95,56.48
2304,200,2,29.56,14.7818,-0.1914,49.6436,99.67,29.95,56.48
2304,200,1,29.75,29.7503,-0.1960,48.5839,48.78,29.95,56.48
