nthreads,mode,total_gbs,read_gbs,write_gbs,cores
1,read,15.9,15.9,0.0,"0"
1,mixed,27.6,13.9,13.7,"0"
2,read,31.8,31.7,0.1,"0 1"
2,mixed,55.3,28.2,27.1,"0 1"
4,read,62.2,62.1,0.1,"0 1 2 3"
4,mixed,97.7,49.7,48.0,"0 1 2 3"
8,read,115.3,115.2,0.1,"0 1 2 3 4 5 6 7"
8,mixed,140.9,71.1,69.8,"0 1 2 3 4 5 6 7"
16,read,195.7,195.7,0.0,"0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15"
16,mixed,177.2,89.0,88.2,"0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15"
24,read,228.3,228.2,0.1,"0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23"
24,mixed,184.2,92.3,91.9,"0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23"
